Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
0441;0441;Kartverket;Utgått;29.11.2017;1;Os i Hedmark;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0441/de07b4bd-aa30-4817-854f-d5ef7174572a;
0501;0501;Kartverket;Utgått;29.11.2017;1;Lillehammer;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0501/71776f7b-8e0c-43ab-941d-885494047c89;
0502;0502;Kartverket;Utgått;29.11.2017;1;Gjøvik;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0502/5f6a81b7-1eef-4441-8618-f0da04ee937d;
0511;0511;Kartverket;Utgått;29.11.2017;1;Dovre;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0511/db44dcbf-3d81-4a6d-b8ac-3ec9716e5780;
0512;0512;Kartverket;Utgått;29.11.2017;1;Lesja;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0512/4276bdd7-e54d-4f4d-91d3-4913fa3f829a;
0513;0513;Kartverket;Utgått;29.11.2017;1;Skjåk;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0513/43e33c56-0ea1-41f7-bd29-f9d882f424ac;
0514;0514;Kartverket;Utgått;29.11.2017;1;Lom;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0514/e5fe6dfa-4201-420a-9350-df9686268ea2;
0515;0515;Kartverket;Utgått;29.11.2017;1;Vågå;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0515/3b268fad-8b3c-4c30-979d-778e2167fd9f;
0516;0516;Kartverket;Utgått;29.11.2017;1;Nord-Fron;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0516/aa6d3817-03bb-4cc0-aa1d-6f817901ab83;
0517;0517;Kartverket;Utgått;29.11.2017;1;Sel;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0517/5e9ff4a6-672b-4bff-9572-e12195f3bb23;
0519;0519;Kartverket;Utgått;29.11.2017;1;Sør-Fron;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0519/45adfef6-1849-4d38-89d7-544f7bcf89de;
0520;0520;Kartverket;Utgått;29.11.2017;1;Ringebu;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0520/9e807724-a2af-4d4b-ac66-2d013597a1e6;
0521;0521;Kartverket;Utgått;29.11.2017;1;Øyer;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0521/a0dbce61-b065-463c-8fbc-6003e5cedfc5;
0522;0522;Kartverket;Utgått;29.11.2017;1;Gausdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0522/5787ee6a-09e0-4ab8-820d-2b36160826fb;
0528;0528;Kartverket;Utgått;29.11.2017;1;Østre Toten;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0528/44e28af3-1f39-4fc7-bb71-da394a43bb09;
0529;0529;Kartverket;Utgått;29.11.2017;1;Vestre Toten;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0529/60c02384-4b45-4592-bbb4-443f7523d153;
0532;0532;Kartverket;Utgått;29.11.2017;1;Jevnaker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0532/08da5cb6-425c-4531-9636-b7c10c0ed0cc;
0533;0533;Kartverket;Utgått;29.11.2017;1;Lunner;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0533/c679f28d-93c5-4c57-8736-d547fcecc603;
0534;0534;Kartverket;Utgått;29.11.2017;1;Gran;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0534/9bc1bbd8-2edc-48bb-895b-f2c9428205f1;
0536;0536;Kartverket;Utgått;29.11.2017;1;Søndre Land;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0536/b3f9d0eb-2879-4b0a-935f-700f83896132;
0538;0538;Kartverket;Utgått;29.11.2017;1;Nordre Land;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0538/4e9e9be9-21d0-478c-bd2c-9c4695bdb027;
